,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
482,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'roubo_de_veiculo'}),0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
402,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'furto_outros', 'roubo_de_veiculo'})",0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
50,frozenset({'homicidio_culposo_por_acidente_de_transito'}),frozenset({'roubo_de_veiculo'}),0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
399,"frozenset({'furto_outros', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'roubo_de_veiculo'}),0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
401,frozenset({'roubo_de_veiculo'}),"frozenset({'furto_outros', 'homicidio_culposo_por_acidente_de_transito'})",0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
49,frozenset({'roubo_de_veiculo'}),frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
496,"frozenset({'roubo_de_veiculo', 'lesao_corporal_dolosa'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
207,frozenset({'roubo_de_veiculo'}),"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
498,frozenset({'roubo_de_veiculo'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_dolosa'})",0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
483,frozenset({'roubo_de_veiculo'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
481,"frozenset({'roubo_de_veiculo', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
398,"frozenset({'furto_outros', 'roubo_de_veiculo'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.8846153846153846,0.7692307692307693,0.7307692307692307,0.826086956521739,1.0739130434782607,1.0,0.050295857988165604,1.3269230769230758,0.5964912280701744,0.7916666666666666,0.2463768115942023,0.8880434782608695
323,frozenset({'roubo_de_veiculo'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'furto_de_veiculos'})",0.8846153846153846,0.75,0.7115384615384616,0.8043478260869565,1.0724637681159421,1.0,0.04807692307692313,1.277777777777778,0.585585585585586,0.7708333333333334,0.21739130434782616,0.8765328874024527
512,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'roubo_outros'})",frozenset({'roubo_de_veiculo'}),0.75,0.8846153846153846,0.7115384615384616,0.9487179487179488,1.0724637681159421,1.0,0.04807692307692313,2.250000000000004,0.27027027027027056,0.7708333333333334,0.5555555555555564,0.8765328874024527
513,frozenset({'roubo_de_veiculo'}),"frozenset({'homicidio_culposo_por_acidente_de_transito', 'roubo_outros'})",0.8846153846153846,0.75,0.7115384615384616,0.8043478260869565,1.0724637681159421,1.0,0.04807692307692313,1.277777777777778,0.585585585585586,0.7708333333333334,0.21739130434782616,0.8765328874024527
322,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'furto_de_veiculos'})",frozenset({'roubo_de_veiculo'}),0.75,0.8846153846153846,0.7115384615384616,0.9487179487179488,1.0724637681159421,1.0,0.04807692307692313,2.250000000000004,0.27027027027027056,0.7708333333333334,0.5555555555555564,0.8765328874024527
324,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'roubo_de_veiculo', 'furto_de_veiculos'})",0.7692307692307693,0.8653846153846154,0.7115384615384616,0.925,1.068888888888889,1.0,0.04585798816568043,1.7948717948717954,0.27927927927927904,0.7708333333333334,0.44285714285714306,0.8736111111111111
321,"frozenset({'roubo_de_veiculo', 'furto_de_veiculos'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.8653846153846154,0.7692307692307693,0.7115384615384616,0.8222222222222223,1.068888888888889,1.0,0.04585798816568043,1.2980769230769234,0.4787644787644784,0.7708333333333334,0.22962962962962982,0.8736111111111111
577,frozenset({'tentativa_de_homicidio'}),"frozenset({'roubo_de_veiculo', 'roubo_outros'})",0.7884615384615384,0.8461538461538461,0.7115384615384616,0.902439024390244,1.066518847006652,1.0,0.044378698224852076,1.576923076923079,0.2948402948402948,0.7708333333333334,0.3658536585365863,0.8716740576496675
271,"frozenset({'roubo_de_veiculo', 'estupro_de_vulneravel'})",frozenset({'tentativa_de_homicidio'}),0.8461538461538461,0.7884615384615384,0.7115384615384616,0.8409090909090909,1.066518847006652,1.0,0.044378698224852076,1.32967032967033,0.40540540540540543,0.7708333333333334,0.2479338842975209,0.8716740576496675
275,frozenset({'tentativa_de_homicidio'}),"frozenset({'roubo_de_veiculo', 'estupro_de_vulneravel'})",0.7884615384615384,0.8461538461538461,0.7115384615384616,0.902439024390244,1.066518847006652,1.0,0.044378698224852076,1.576923076923079,0.2948402948402948,0.7708333333333334,0.3658536585365863,0.8716740576496675
574,"frozenset({'roubo_de_veiculo', 'roubo_outros'})",frozenset({'tentativa_de_homicidio'}),0.8461538461538461,0.7884615384615384,0.7115384615384616,0.8409090909090909,1.066518847006652,1.0,0.044378698224852076,1.32967032967033,0.40540540540540543,0.7708333333333334,0.2479338842975209,0.8716740576496675
375,"frozenset({'roubo_de_veiculo', 'furto_de_veiculos'})",frozenset({'roubo_outros'}),0.8653846153846154,0.9230769230769231,0.8461538461538461,0.9777777777777779,1.0592592592592593,1.0,0.047337278106508784,3.4615384615384714,0.4155844155844149,0.8979591836734693,0.7111111111111119,0.9472222222222222
380,frozenset({'roubo_outros'}),"frozenset({'roubo_de_veiculo', 'furto_de_veiculos'})",0.9230769230769231,0.8653846153846154,0.8461538461538461,0.9166666666666666,1.0592592592592591,1.0,0.047337278106508784,1.6153846153846143,0.7272727272727263,0.8979591836734693,0.38095238095238054,0.9472222222222222
132,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'estupro_de_vulneravel', 'furto_de_veiculos'})",0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
403,"frozenset({'furto_outros', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'roubo_outros'}),0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
